iter	Passed	Remaining
0	156	155989
1	156	78287
2	157	52322
3	158	39362
4	160	31864
5	160	26641
6	161	22922
7	162	20111
8	162	17919
9	163	16162
10	163	14725
11	164	13530
12	164	12514
13	165	11644
14	165	10890
15	166	10238
16	167	9667
17	167	9151
18	168	8690
19	168	8273
20	169	7895
21	169	7551
22	170	7236
23	170	6948
24	171	6683
25	171	6438
26	172	6217
27	173	6012
28	173	5819
29	174	5638
30	174	5468
31	175	5309
32	176	5159
33	176	5019
34	177	4884
35	177	4756
36	178	4636
37	178	4526
38	179	4421
39	179	4319
40	180	4221
41	181	4129
42	181	4040
43	182	3955
44	182	3875
45	183	3798
46	183	3724
47	184	3653
48	184	3588
49	185	3525
50	186	3462
51	186	3400
52	187	3342
53	187	3285
54	188	3231
55	188	3178
56	189	3127
57	189	3078
58	190	3031
59	190	2986
60	191	2943
61	191	2903
62	192	2863
63	193	2822
64	193	2784
65	194	2746
66	194	2708
67	195	2673
68	195	2638
69	196	2604
70	196	2571
71	197	2542
72	197	2512
73	198	2481
74	198	2452
75	199	2423
76	199	2396
77	200	2368
78	200	2342
79	201	2316
80	201	2291
81	202	2266
82	202	2239
83	203	2218
84	204	2196
85	204	2175
86	205	2153
87	205	2132
88	206	2112
89	206	2089
90	207	2069
91	207	2050
92	208	2028
93	208	2010
94	209	1991
95	209	1975
96	210	1959
97	210	1941
98	211	1924
99	211	1907
100	212	1891
101	212	1874
102	213	1859
103	214	1844
104	214	1828
105	215	1813
106	215	1800
107	216	1787
108	216	1773
109	217	1759
110	218	1746
111	218	1733
112	219	1720
113	219	1708
114	220	1696
115	220	1683
116	221	1671
117	222	1659
118	222	1648
119	223	1637
120	223	1625
121	224	1614
122	224	1602
123	225	1591
124	225	1580
125	226	1569
126	226	1559
127	227	1548
128	227	1538
129	228	1529
130	229	1521
131	229	1511
132	230	1501
133	230	1492
134	231	1482
135	231	1473
136	232	1464
137	232	1454
138	233	1446
139	234	1437
140	234	1429
141	235	1421
142	235	1411
143	236	1403
144	236	1395
145	237	1387
146	237	1379
147	238	1371
148	238	1363
149	239	1355
150	239	1348
151	240	1340
152	240	1333
153	241	1326
154	242	1320
155	242	1312
156	243	1305
157	243	1298
158	244	1291
159	244	1284
160	245	1278
161	245	1271
162	246	1264
163	246	1258
164	247	1252
165	248	1247
166	248	1241
167	249	1234
168	249	1228
169	250	1222
170	250	1216
171	251	1210
172	251	1203
173	252	1198
174	252	1192
175	253	1186
176	254	1181
177	254	1176
178	255	1171
179	255	1165
180	256	1159
181	256	1154
182	257	1149
183	257	1143
184	258	1138
185	258	1132
186	259	1127
187	259	1122
188	260	1118
189	261	1113
190	261	1108
191	262	1103
192	262	1098
193	263	1093
194	263	1088
195	264	1083
196	264	1079
197	265	1074
198	265	1069
199	266	1065
200	266	1061
201	267	1056
202	268	1052
203	268	1047
204	269	1043
205	269	1039
206	270	1035
207	270	1030
208	271	1026
209	271	1022
210	272	1017
211	272	1014
212	273	1010
213	274	1006
214	274	1002
215	275	998
216	275	994
217	276	990
218	276	986
219	277	982
220	277	978
221	278	974
222	278	970
223	279	967
224	280	964
225	280	960
226	281	957
227	281	953
228	281	949
229	282	945
230	283	942
231	283	939
232	284	936
233	285	933
234	285	930
235	286	927
236	286	923
237	287	920
238	287	916
239	288	913
240	289	910
241	289	906
242	290	903
243	290	900
244	291	896
245	291	893
246	292	890
247	292	887
248	293	884
249	293	881
250	294	878
251	294	875
252	295	871
253	295	868
254	296	865
255	296	862
256	297	859
257	297	856
258	298	854
259	299	851
260	299	848
261	300	845
262	300	842
263	301	839
264	301	837
265	302	834
266	302	831
267	303	828
268	303	825
269	304	823
270	305	820
271	305	818
272	306	815
273	306	812
274	307	810
275	307	807
276	308	805
277	309	802
278	309	800
279	310	797
280	310	795
281	311	793
282	312	790
283	312	788
284	313	786
285	313	783
286	314	781
287	315	779
288	315	776
289	316	774
290	316	771
291	317	769
292	318	767
293	318	765
294	319	762
295	319	760
296	320	757
297	320	755
298	321	753
299	321	750
300	322	748
301	322	745
302	323	743
303	323	741
304	324	739
305	324	737
306	325	734
307	326	734
308	327	731
309	327	729
310	328	727
311	328	724
312	329	722
313	329	720
314	330	719
315	331	716
316	331	714
317	332	712
318	332	710
319	333	708
320	333	706
321	334	703
322	334	702
323	335	699
324	335	697
325	336	696
326	337	694
327	337	692
328	338	690
329	338	688
330	339	685
331	339	683
332	340	682
333	340	679
334	341	677
335	341	675
336	342	673
337	343	672
338	343	670
339	344	668
340	344	666
341	345	664
342	345	662
343	346	660
344	346	658
345	347	656
346	348	654
347	348	652
348	349	651
349	349	649
350	350	647
351	350	645
352	351	643
353	351	641
354	352	640
355	352	638
356	353	636
357	354	634
358	354	633
359	355	631
360	355	629
361	356	628
362	356	626
363	357	624
364	357	622
365	358	620
366	358	619
367	359	617
368	359	615
369	360	613
370	360	611
371	361	610
372	362	608
373	362	607
374	363	605
375	363	603
376	364	601
377	364	600
378	365	598
379	365	596
380	366	595
381	366	593
382	367	591
383	368	590
384	368	588
385	369	587
386	369	585
387	370	584
388	371	582
389	371	581
390	372	579
391	372	578
392	373	576
393	373	575
394	374	573
395	375	572
396	375	570
397	376	569
398	376	567
399	377	566
400	378	564
401	378	563
402	379	561
403	379	559
404	380	558
405	380	556
406	381	555
407	381	554
408	382	552
409	382	551
410	383	549
411	384	548
412	384	546
413	385	545
414	385	543
415	386	542
416	386	540
417	387	539
418	387	537
419	388	536
420	388	534
421	389	533
422	390	532
423	390	530
424	391	529
425	391	527
426	392	526
427	392	525
428	393	524
429	394	522
430	395	521
431	395	520
432	396	518
433	396	517
434	397	516
435	398	515
436	398	513
437	399	512
438	400	511
439	400	510
440	401	508
441	401	507
442	402	506
443	403	504
444	403	503
445	404	502
446	404	500
447	405	499
448	406	498
449	406	497
450	407	496
451	408	494
452	408	493
453	409	492
454	410	491
455	410	489
456	411	488
457	412	488
458	413	487
459	414	486
460	414	484
461	415	483
462	415	482
463	416	480
464	416	479
465	417	478
466	417	476
467	418	475
468	418	474
469	419	473
470	420	472
471	420	470
472	421	469
473	422	468
474	422	467
475	423	465
476	423	464
477	424	463
478	424	462
479	425	461
480	426	460
481	427	459
482	427	458
483	428	457
484	429	456
485	430	455
486	431	454
487	433	454
488	434	453
489	434	452
490	435	451
491	435	450
492	436	448
493	440	451
494	441	450
495	443	451
496	445	450
497	446	450
498	447	448
499	447	447
500	448	446
501	448	445
502	449	444
503	452	445
504	454	445
505	456	445
506	458	445
507	459	444
508	459	443
509	460	442
510	461	441
511	461	440
512	462	439
513	464	439
514	465	438
515	466	437
516	467	436
517	467	435
518	471	436
519	472	435
520	473	434
521	474	434
522	475	433
523	476	433
524	477	432
525	478	431
526	479	430
527	479	428
528	480	427
529	480	426
530	481	425
531	482	424
532	483	423
533	483	422
534	484	421
535	485	420
536	486	419
537	487	418
538	488	417
539	489	416
540	489	415
541	490	414
542	490	413
543	491	411
544	491	410
545	492	409
546	493	408
547	493	407
548	494	406
549	495	405
550	495	403
551	496	402
552	496	401
553	497	400
554	498	399
555	499	398
556	499	397
557	500	396
558	501	395
559	501	394
560	502	393
561	503	392
562	504	391
563	505	390
564	505	389
565	508	389
566	509	388
567	509	387
568	510	386
569	511	385
570	512	384
571	512	383
572	513	382
573	514	381
574	514	380
575	515	379
576	516	378
577	516	377
578	517	376
579	517	374
580	518	373
581	518	372
582	519	371
583	520	370
584	521	369
585	521	368
586	522	367
587	522	366
588	523	365
589	524	364
590	526	364
591	528	364
592	529	363
593	530	362
594	531	361
595	532	361
596	533	360
597	535	359
598	536	359
599	537	358
600	537	357
601	538	356
602	539	355
603	540	354
604	540	353
605	541	352
606	542	351
607	543	350
608	543	348
609	544	347
610	544	346
611	545	345
612	545	344
613	546	343
614	547	342
615	547	341
616	548	340
617	548	339
618	549	338
619	549	336
620	550	335
621	550	334
622	551	333
623	552	332
624	552	331
625	553	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	323
632	556	322
633	557	321
634	558	320
635	558	319
636	559	318
637	559	317
638	560	316
639	560	315
640	561	314
641	561	313
642	562	312
643	562	311
644	563	310
645	563	309
646	564	307
647	564	306
648	565	305
649	566	304
650	566	303
651	567	302
652	567	301
653	568	300
654	568	299
655	569	298
656	569	297
657	570	296
658	570	295
659	571	294
660	571	293
661	572	292
662	572	291
663	573	290
664	573	289
665	574	288
666	574	287
667	575	285
668	575	284
669	576	284
670	577	283
671	577	282
672	578	280
673	578	279
674	579	278
675	579	277
676	580	276
677	580	275
678	581	274
679	581	273
680	582	272
681	583	271
682	584	271
683	584	270
684	585	269
685	585	268
686	586	267
687	586	266
688	587	265
689	588	264
690	588	263
691	589	262
692	589	261
693	590	260
694	591	259
695	591	258
696	592	257
697	593	256
698	593	255
699	594	254
700	595	253
701	595	252
702	596	251
703	597	251
704	597	250
705	598	249
706	598	248
707	599	247
708	599	246
709	600	245
710	600	244
711	601	243
712	601	242
713	602	241
714	602	240
715	603	239
716	603	238
717	604	237
718	604	236
719	605	235
720	605	234
721	606	233
722	606	232
723	607	231
724	608	230
725	608	229
726	609	228
727	609	227
728	610	226
729	610	225
730	611	224
731	611	224
732	612	223
733	612	222
734	613	221
735	613	220
736	614	219
737	615	218
738	615	217
739	616	216
740	616	215
741	617	214
742	617	213
743	618	212
744	618	211
745	619	210
746	619	209
747	620	208
748	621	208
749	621	207
750	622	206
751	622	205
752	623	204
753	623	203
754	624	202
755	624	201
756	625	200
757	625	199
758	626	198
759	627	198
760	627	197
761	628	196
762	628	195
763	629	194
764	629	193
765	630	192
766	631	191
767	631	190
768	632	189
769	632	188
770	633	188
771	633	187
772	634	186
773	635	185
774	635	184
775	636	183
776	636	182
777	637	181
778	637	180
779	638	180
780	638	179
781	639	178
782	640	177
783	640	176
784	641	175
785	641	174
786	642	173
787	642	172
788	643	172
789	643	171
790	644	170
791	645	169
792	645	168
793	646	167
794	646	166
795	647	165
796	648	165
797	648	164
798	649	163
799	649	162
800	650	161
801	650	160
802	651	159
803	651	158
804	652	158
805	653	157
806	653	156
807	654	155
808	654	154
809	655	153
810	655	152
811	656	151
812	656	151
813	657	150
814	657	149
815	658	148
816	659	147
817	659	146
818	660	145
819	660	145
820	661	144
821	661	143
822	662	142
823	663	141
824	663	140
825	664	139
826	664	139
827	665	138
828	666	137
829	666	136
830	667	135
831	667	134
832	668	133
833	668	133
834	669	132
835	669	131
836	670	130
837	670	129
838	671	128
839	672	128
840	672	127
841	673	126
842	673	125
843	674	124
844	674	123
845	675	122
846	675	122
847	676	121
848	676	120
849	677	119
850	678	118
851	678	117
852	679	117
853	679	116
854	680	115
855	680	114
856	681	113
857	681	112
858	682	111
859	682	111
860	683	110
861	683	109
862	684	108
863	684	107
864	685	106
865	686	106
866	686	105
867	687	104
868	687	103
869	688	102
870	688	102
871	689	101
872	690	100
873	690	99
874	691	98
875	691	97
876	692	97
877	692	96
878	693	95
879	693	94
880	694	93
881	694	92
882	695	92
883	695	91
884	696	90
885	697	89
886	697	88
887	698	88
888	698	87
889	699	86
890	699	85
891	700	84
892	700	83
893	701	83
894	701	82
895	702	81
896	702	80
897	703	79
898	704	79
899	704	78
900	705	77
901	705	76
902	706	75
903	706	75
904	707	74
905	707	73
906	708	72
907	709	71
908	710	71
909	710	70
910	711	69
911	712	68
912	712	67
913	713	67
914	713	66
915	714	65
916	715	64
917	715	63
918	716	63
919	717	62
920	717	61
921	718	60
922	718	59
923	719	59
924	719	58
925	720	57
926	720	56
927	721	55
928	721	55
929	722	54
930	722	53
931	723	52
932	723	51
933	724	51
934	725	50
935	725	49
936	726	48
937	726	48
938	727	47
939	727	46
940	728	45
941	729	44
942	729	44
943	730	43
944	730	42
945	731	41
946	731	40
947	732	40
948	732	39
949	733	38
950	733	37
951	734	37
952	734	36
953	735	35
954	735	34
955	736	33
956	736	33
957	737	32
958	737	31
959	738	30
960	738	29
961	739	29
962	740	28
963	740	27
964	741	26
965	741	26
966	742	25
967	742	24
968	743	23
969	743	23
970	744	22
971	744	21
972	745	20
973	745	19
974	746	19
975	746	18
976	747	17
977	748	16
978	748	16
979	749	15
980	749	14
981	750	13
982	750	12
983	751	12
984	751	11
985	752	10
986	752	9
987	753	9
988	754	8
989	754	7
990	755	6
991	755	6
992	756	5
993	756	4
994	757	3
995	757	3
996	758	2
997	758	1
998	759	0
999	759	0
